City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Nambucca Heads,AU,-30.65,153.0,70.16,86,100,6.49,light rain
311,Capitao Poco,BR,-1.7464,-47.0594,74.35,96,93,4.29,moderate rain
312,Nortelandia,BR,-14.4547,-56.8028,75.51,90,89,1.48,overcast clouds
313,Turkistan,KZ,43.0,68.0,50.13,66,2,17.6,clear sky
314,Capitan Bado,PY,-23.2667,-55.5333,73.53,80,18,8.28,few clouds
315,Castro,BR,-24.7911,-50.0119,64.67,93,21,7.38,few clouds
316,Hami,CN,42.8,93.45,42.57,36,18,10.96,few clouds
317,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,71,0,9.22,clear sky
318,Okhotsk,RU,59.3833,143.3,7.32,69,0,15.43,clear sky
319,Grand Gaube,MU,-20.0064,57.6608,74.37,81,16,3.0,few clouds
320,Pacific Grove,US,36.6177,-121.9166,60.75,80,100,5.99,overcast clouds
321,Penzance,GB,50.1186,-5.5371,50.68,87,94,10.2,overcast clouds
322,Victor Harbor,AU,-35.5667,138.6167,64.49,75,2,6.46,clear sky
323,Pleasanton,US,37.6624,-121.8747,62.08,63,100,8.05,overcast clouds
324,Miahuatlan,MX,18.5667,-97.4333,76.35,21,2,9.22,clear sky
325,Kungurtug,RU,50.5994,97.5228,8.96,97,99,1.07,overcast clouds
326,Kahului,US,20.8947,-156.47,82.42,54,40,11.5,scattered clouds
327,Ahuimanu,US,21.4447,-157.8378,82.11,64,40,11.5,scattered clouds
328,Phangnga,TH,8.4509,98.5298,78.84,91,85,3.09,light rain
329,Kodiak,US,57.79,-152.4072,40.51,81,100,9.22,overcast clouds
330,Waipawa,NZ,-41.4122,175.5153,58.82,88,99,3.58,overcast clouds
331,Armidale,AU,-30.5167,151.65,56.68,98,100,8.68,light rain
332,Loreto,MX,22.2667,-101.9667,80.38,12,25,11.05,scattered clouds
333,Marfino,RU,55.7028,37.3822,34.05,80,75,17.9,broken clouds
334,Vila Velha,BR,-20.3297,-40.2925,78.94,88,20,5.99,few clouds
335,Egvekinot,RU,66.3167,-179.1667,2.35,82,21,7.72,few clouds
336,Vagay,RU,57.9375,69.0217,33.73,85,100,10.98,overcast clouds
337,Eyl,SO,7.9803,49.8164,77.5,77,8,11.23,clear sky
338,Fort Nelson,CA,58.8053,-122.7002,44.19,29,20,3.44,few clouds
339,Rawson,AR,-43.3002,-65.1023,68.14,36,20,15.93,few clouds
340,Sonoita,MX,31.85,-112.8333,73.81,19,93,25.79,overcast clouds
341,Wakkanai,JP,45.4094,141.6739,41.41,75,4,24.25,clear sky
342,Bucerias,MX,20.75,-105.3333,76.98,65,0,11.5,clear sky
343,Yerbogachen,RU,61.2767,108.0108,-1.55,100,91,3.85,overcast clouds
344,Adrar,MR,20.5022,-10.0711,83.1,16,100,8.66,overcast clouds
345,Mount Darwin,ZW,-16.7725,31.5838,63.18,95,35,4.61,scattered clouds
